Novel Code,Novel Title,Narrative Person,Narrator Gender (M/F/A/U),Author Code,Translator Code,Format of First Publication,Format of Annotated Novel,Year of First Publication,Year of First English Translation,Original Book Publisher (first English publisher for translations),City of First Publication,Country of First Publication,Genre,Source,Annotators,Folder Name
AHOD,A Handful Of Dust,3.0,U,WAUG,,Serial,Book,1934.0,1934,Chapman and Hall,London,United Kingdom,literary,https://www.gutenberg.ca/ebooks/waughe-handfulofdust/waughe-handfulofdust-00-e.html,"Beck, Sanghoon",AHandfulOfDust
ALIC,Alice's Adventures in Wonderland,3.0,U,CARR,,Book,Book,1865.0,1865,Macmillan,London,United Kingdom,children,https://www.gutenberg.org/ebooks/928,"Beck, Leah",AlicesAdventuresInWonderland
ANNE,Anne Of Green Gables,3.0,U,MONT,,Book,Book,1908.0,1908,L.C. Page & Company,Boston,United States,children,https://www.gutenberg.org/ebooks/45,"Jovana, Leah",AnneOfGreenGables
PASS,A Passage to India,3.0,U,FORS,,Book,Book,1924.0,1924,Edward Arnold Publishers Ltd,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/61221,"Jovana, Alanna",APassageToIndia
ROOM,A Room With A View,3.0,U,FORS,,Book,Book,1908.0,1908,Edward Arnold Publishers Ltd,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/2641,"Jovana, Sanghoon",ARoomWithAView
DAIS,Daisy Miller,1.0,M,JAME,,Book,Book,1878.0,1878,The Cornhill Magazine,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/208,"Bisman, Jovana",DaisyMiller
EMMA,Emma,3.0,A,AUST,,Book,Book,1815.0,1815,John Murray,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/158,"Bisman, Jovana",Emma
HARD,Hard Times,3.0,U,DICK,,Serial,Book,1854.0,1854,bradbury & Evans,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/786,"Alanna, Sanghoon",HardTimes
HOWA,Howards End,3.0,M,FORS,,Book,Book,1910.0,1910,Edward Arnold Publishers Ltd,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/2946,"Beck, Jovana",HowardsEnd
MANS,Mansfield Park,3.0,A,AUST,,Book,Book,1814.0,1814,Thomas Egerton,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/141,"Sanghoon, Alexander",MansfieldPark
NIDA,Night and Day,3.0,U,WOOL,,Book,Book,1919.0,1919,Gerald Duckworth and Company,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/1245,"Leah, Sanghoon",NightAndDay
NOAB,Northanger Abbey,3.0,A,AUST,,Book,Book,1817.0,1817,John Murray,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/121,"Alanna, Beck",NorthangerAbbey
OLIV,Oliver Twist,3.0,U,DICK,,Serial,Book,1838.0,1838,Richard Bentley,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/730,"Alex, Diana",OliverTwist
PERS,Persuasion,3.0,A,AUST,,Book,Book,1817.0,1817,John Murray,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/105,"Sanghoon, Sol",Persuasion
PRPR,Pride and Prejudice,3.0,A,AUST,,Book,Book,1813.0,1813,Thomas Egerton,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/1342,"Beck, Sanghoon, Leah, Jovana",PrideAndPrejudice
SESE,Sense and Sensibility,3.0,A,AUST,,Book,Book,1811.0,1811,Thomas Egerton,London,United Kingdom,literary,https://www.gutenberg.org/ebooks/161,"Leah, Sofia",SenseAndSensibility
INNO,The Age of Innocence,3.0,U,WHAR,,Serial,Book,1920.0,1920,D. Appleton & Company,New York,United States,literary,https://www.gutenberg.org/ebooks/541,"Sanghoon, Sol",TheAgeOfInnocence
AWAK,The Awakening,3.0,U,CHOP,,Book,Book,1899.0,1899,Herbert S. Stone & Company,"Chicago, New York",United States,literary,https://www.gutenberg.org/ebooks/160,"Bisman, Jovana",TheAwakening
GAMB,The Gambler,1.0,M,DOST,HOGA,Book,Book,1866.0,1887,Fyodor Timofeyevich Stellovsky,St. Petersberg?,Russian Empire,literary,https://www.gutenberg.org/ebooks/2197,"Alanna, Beck",TheGambler
INVI,The Invisible Man,3.0,U,WELL,,Serial,Book,1897.0,1897,C. Arthur Pearson Ltd,London,United Kingdom,scifi,https://www.gutenberg.org/ebooks/5230,"Beck, Leah",TheInvisibleMan
MWWT,The Man Who Was Thursday,3.0,U,CHES,,Book,Book,1908.0,1908,J. W. Arrowsmith Ltd,Bristol,United Kingdom,literary,https://www.gutenberg.org/ebooks/1695,"Alanna, Beck",TheManWhoWasThursday
MAAS,The Mysterious Affair At Styles,1.0,M,CHRI,,Book,Book,1921.0,1921,The Bodley Head,London,United Kingdom,crime,https://www.gutenberg.org/ebooks/863,"Leah, Beck",TheMysteriousAffairAtStyles
DOGR,The Picture Of Dorian Gray,3.0,U,WILD,,Serial,Book,1890.0,1891,"Ward, Lock & Co",London,United Kingdom,literary,https://www.gutenberg.org/ebooks/174,"Leah, Sofia",ThePictureOfDorianGray
FOUR,The Sign of the Four,1.0,M,DOYL,,Serial,Book,1891.0,1891,Spencer Blackett,London,United Kingdom,crime,https://www.gutenberg.org/ebooks/2097,"Jovana, Leah",TheSignOfTheFour
SPOR,The Sport of the Gods,3.0,U,DUNB,,Book,Book,1902.0,1902,"Dodd, Mead and Company",New York,United States,literary,https://www.gutenberg.org/ebooks/17854,"Leah, Sanghoon",TheSportOfTheGods
TSAR,The Sun Also Rises,1.0,M,HEMI,,Book,Book,1926.0,1926,Scribner's,New York,United States,literary,https://www.gutenberg.org/ebooks/67138,"Bisman, Jovana",TheSunAlsoRises
ANGE,Where Angels Fear to Tread,1.0,U,FORS,,Book,Book,1905.0,1905,William Blackwood and Sons,Edinburgh,United Kingdom,literary,https://www.gutenberg.org/ebooks/2948,"Alanna, Diana",WhereAngelsFearToTread
POOH,Winnie-The-Pooh,1.0,M,MILN,,Serial,Book,1926.0,1926,"Dutton; Methuen & Company, Ltd",London; Boston,United States; United Kingdon,children,https://www.gutenberg.org/ebooks/67098,"Sanghoon, Alanna",WinnieThePooh